Tipo,Titulo,Mes,Año,Id,Genero
Movie,Anderson's Cross,5,2010,tt0393049,Romance
Movie,Rapunzel,12,2010,tt0398286,Romance
Movie,"Cargo, les hommes perdus.",8,2010,tt0437462,Romance
Movie,Milenge Milenge,7,2010,tt0443331,Romance
Movie,Scott Pilgrim vs. the World,11,2010,tt0446029,Romance
Movie,Piranha 3D,9,2010,tt0464154,Romance
Movie,Barry Munday,3,2010,tt0482461,Romance
Movie,Bandeiji,1,2010,tt0482459,Romance
Movie,Tranced,,2010,tt0499608,Romance
Movie,Love & Other Drugs,1,2011,tt0758752,Romance
Movie,Eu e Meu Guarda-Chuva,10,2010,tt0768187,Romance
Movie,Night Catches Us,12,2010,tt0775543,Romance
Movie,The First Grader,8,2011,tt0790663,Romance
Movie,It's Kind of a Funny Story,10,2010,tt0804497,Romance
Movie,She's Out of My League,6,2010,tt0815236,Romance
Movie,Valentine's Day,2,2010,tt0817230,Romance
Movie,Flipped,9,2010,tt0817177,Romance
Movie,The Kids Are All Right,12,2010,tt0842926,Romance
Movie,Killer by Nature,,2010,tt0844866,Romance
Movie,Kolorádó Kid,10,2010,tt0856796,Romance
Movie,Eat Pray Love,10,2010,tt0879870,Romance
Movie,AIR: The Musical,4,2010,tt0882741,Romance
Movie,The Switch,10,2010,tt0889573,Romance
Movie,Letters to Juliet,6,2010,tt0892318,Romance
Movie,Shrek Forever After,7,2010,tt0892791,Romance
Movie,Movin' In,8,2010,tt0910926,Romance
Movie,De gelukkige huisvrouw,4,2010,tt0920459,Romance
Movie,Tsvetok dyavola,9,2010,tt0937353,Romance
Movie,Dom Solntsa,4,2010,tt0962764,Romance
Movie,L'imbroglio nel lenzuolo,6,2010,tt0965429,Romance
Movie,Little Fockers,12,2010,tt0970866,Romance
Movie,Multiple Sarcasms,4,2010,tt0984210,Romance
Movie,A Flat,11,2010,tt0988655,Romance
Movie,Dear John,3,2010,tt0989757,Romance
Movie,Lives No Longer Ours,,2011,tt0311448,Romance
Movie,Gnomeo & Juliet,2,2011,tt0377981,Romance
Movie,Satin,3,2011,tt0433397,Romance
Movie,A Bird of the Air,9,2011,tt0448022,Romance
Movie,Hall Pass,3,2011,tt0480687,Romance
Movie,Something Borrowed,6,2011,tt0491152,Romance
Movie,What's Your Number?,10,2011,tt0770703,Romance
Movie,Till You Get to Baraboo,,,tt0770819,Romance
Movie,Red Dog,8,2011,tt0803061,Romance
Movie,Take Me Home Tonight,3,2011,tt0810922,Romance
Movie,From Prada to Nada,1,2011,tt0893412,Romance
Movie,Un monstre à Paris,6,2012,tt0961097,Romance
Short,Eden,9,2011,tt10014790,Romance
Movie,On the Road,5,2012,tt0337692,Romance
Movie,Bad Blood,10,2012,tt0495024,Romance
Movie,Elliot Loves,5,2012,tt0790653,Romance
Movie,Belle du Seigneur,6,2013,tt0810772,Romance
Movie,Jack & Diane,4,2012,tt0850677,Romance
Movie,Letting Go,10,2012,tt0865557,Romance
Movie,Jewtopia,11,2013,tt0878814,Romance
Movie,Strange Frame: Love & Sax,5,2012,tt0969345,Romance
Movie,Hitchcock,3,2013,tt0975645,Romance
Movie,Four,9,2013,tt0980999,Romance
Movie,The Significant Other,12,2012,tt0991173,Romance
Movie,The Secret Life of Walter Mitty,1,2014,tt0359950,Romance
Short,In absentia,4,2013,tt0431830,Romance
Movie,Blunt Movie,4,2013,tt0452183,Romance
Movie,Syrup,5,2013,tt0762138,Romance
Movie,Approaching Midnight,8,2013,tt0837559,Romance
Movie,The Fallen Word,5,2013,tt0843839,Romance
Movie,Legend of the Red Reaper,8,2013,tt0996958,Romance
Movie,Rice Girl,7,2014,tt0329539,Romance
Movie,The Giver,8,2014,tt0435651,Romance
Movie,Before We Go,11,2020,tt0443465,Romance
Movie,Suite Française,3,2015,tt0900387,Romance
Movie,Life Mein Twist Hai,12,2014,tt10006510,Romance
Movie,Zvyozdy svetyat vsem,11,2014,tt10035404,Romance
Short,La scelta,,2014,tt10036828,Romance
Movie,Hum tum,2,2014,tt10039022,Romance
Movie,Boris Secret Private Life,,2014,tt10078810,Romance
Movie,Healing Mate,10,2014,tt10078844,Romance
Movie,The Blood Will Murder Roses,1,2014,tt10094362,Romance
Movie,Miles Ahead,4,2016,tt0790770,Romance
Movie,The Danish Girl,1,2016,tt0810819,Romance
Movie,Jackson Arms,10,2015,tt0850678,Romance
Movie,Chooriyan,6,2015,tt0977643,Romance
Movie,The History of Love,1,2017,tt0443533,Romance
Movie,Manhattan Minutiae,5,2016,tt0821486,Romance
Movie,The Legend of Tarzan,7,2016,tt0918940,Romance
Movie,Tulip Fever,8,2017,tt0491203,Romance
Movie,Rings,2,2017,tt0498381,Romance
Movie,Nappily Ever After,9,2018,tt0365545,Romance
Movie,Dirt Music,10,2020,tt0810836,Romance
Short,Kissing Carmen,,,tt10001012,Romance
Short,Rencontre,3,2019,tt10003916,Romance
Short,Verdad o Atrevimiento,,,tt10006192,Romance
Movie,A Christmas Prince: The Royal Baby,12,2019,tt10006006,Romance
Short,All Tied Up,2,2019,tt10010132,Romance
Short,Delicious Poison,2,2019,tt10011250,Romance
Movie,Surviving in L.A.,8,2020,tt0446792,Romance
Short,Drop,10,2020,tt10023074,Romance
Movie,Passion simple,8,2021,tt10023172,Romance
Movie,Sweet Face,2,2020,tt10022726,Romance
Movie,Love Aaj Kal,5,2020,tt10023024,Romance
Movie,El verano que vivimos,12,2020,tt10042590,Romance
Movie,Luxor,11,2020,tt10039524,Romance
Short,Entree Des Artists,,2020,tt10050326,Romance
Movie,James & Pat & Dave,2,2020,tt10049262,Romance
Short,Allan Ellen,10,2020,tt10055872,Romance
Short,Inner Self,11,2020,tt10058946,Romance
Movie,Classic Again,2,2020,tt10075442,Romance
Short,Romance Story,9,2020,tt10080196,Romance
Movie,Wild Grass,8,2020,tt10080092,Romance
Movie,What Men Don't Know About Women,8,2020,tt10085194,Romance
Movie,Kokon,7,2022,tt10107222,Romance
Movie,Fishing and Fishermen's Conversations,9,2020,tt10127760,Romance
Movie,Schmetterlinge,7,2020,tt10138068,Romance
Short,Maravairi,11,2020,tt10147962,Romance
Short,The Legend of Stella,2,2020,tt10155378,Romance
Movie,Fair Haven,9,2020,tt10166648,Romance
Movie,The Love Between Us,4,2020,tt10198064,Romance
Movie,The Method,11,2020,tt1020581,Romance
Movie,As I Am,2,2020,tt10218912,Romance
Short,Dirty,1,2020,tt10221140,Romance
Movie,"Omoi, Omoware, Furi, Furare",8,2020,tt10228546,Romance
Movie,Sparks,4,2020,tt10230010,Romance
Movie,My First Summer,3,2021,tt10229982,Romance
Movie,Still Today,11,2020,tt10230492,Romance
Movie,Zamaanat: And Justice for All,,2021,tt0346172,Romance
Movie,Il materiale emotivo,10,2021,tt10072662,Romance
Movie,Indiana Jones and the Sanctuary of the Black Order,1,2021,tt10075650,Romance
Movie,Bole Chudiyan,,2021,tt10083868,Romance
Movie,Nomad,,2021,tt10084832,Romance
Movie,I Won't Be Home for Christmas,12,2021,tt10095332,Romance
Movie,The Diary: An Untold Story,,2021,tt10115874,Romance
Movie,Poor Lucky Rich Boy,1,2021,tt10149976,Romance
Movie,Cinderella,9,2021,tt10155932,Romance
Short,R[evol]ution of Love,1,2021,tt10160440,Romance
Short,An Interloper's Kiss,11,2021,tt10232622,Romance
Movie,Triangle Love,1,2021,tt10230400,Romance
Movie,The Perfect Mistress V: Happy Ending,9,2021,tt10247646,Romance
Movie,Hytti nro 6,1,2022,tt10262648,Romance
Movie,"Lucia, Lucia",5,2021,tt10265764,Romance
Movie,Spring,8,2021,tt10287908,Romance
Movie,The Power of the Dog,11,2021,tt10293406,Romance
Movie,Madame Claude,4,2021,tt10307724,Romance
Movie,Bliss,2,2021,tt10333426,Romance
Movie,Eiffel,10,2021,tt10366514,Romance
Movie,Alienated,8,2021,tt10364272,Romance
Movie,Are You Happy Now,12,2021,tt10369252,Romance
Movie,The Worst Person in the World,2,2022,tt10370710,Romance
Short,Bella Wild,,2021,tt10373668,Romance
Short,Marco & Polo Go Round,6,2021,tt10383780,Romance
Short,Destined to Fail,10,2021,tt10399042,Romance
Movie,The Score,11,2021,tt10405022,Romance
Movie,American Cherry,11,2021,tt10414276,Romance
Movie,Sometime Other Than Now,3,2021,tt10448458,Romance
Movie,Wanton Want,9,2021,tt10487696,Romance
Movie,Violeta y los días Grises,2,2021,tt10501952,Romance
Movie,Sing to Me Sylvie,10,2021,tt10508446,Romance
Movie,"Baby, Don't Cry",8,2021,tt10509374,Romance
Movie,Ageless Love,7,2021,tt10514932,Romance
Movie,Between Forever,6,2021,tt10521244,Romance
Movie,Third Love,7,2021,tt10538846,Romance
Movie,Zwaar verliefd! 2,6,2021,tt10553438,Romance
Short,Signs & Gestures,8,2021,tt10569678,Romance
Movie,From Ashes,,2021,tt10568496,Romance
Movie,Bunty Aur Babli 2,11,2021,tt10569922,Romance
Movie,Koko,2,2021,tt10573984,Romance
Movie,Quem Vai Ficar com Mário?,7,2021,tt10573946,Romance
Short,Ageusia,,2021,tt10573952,Romance
Movie,The Audiologist,,,tt10587522,Romance
Movie,A Spark in Nothing,8,2021,tt10612362,Romance
Movie,Gekijouban Bishoujo Senshi Sailor Moon Eternal,1,2021,tt10635042,Romance
Movie,Wicked Games: Inspired by Real Events,,,tt10637398,Romance
Movie,To All the Boys: Always and Forever,2,2021,tt10676012,Romance
Movie,Laal Singh Chaddha,8,2022,tt10028196,Romance
Movie,Gap Weekend,9,2022,tt10193142,Romance
Movie,Wyjdź za mnie,2,2022,tt10223460,Romance
Short,Stalking Elvis,3,2022,tt10257354,Romance
Movie,Expired,3,2022,tt10295314,Romance
Movie,Unplugging,1,2023,tt10314040,Romance
Movie,Stars at Noon,10,2022,tt10354106,Romance
Movie,Ek Love Ya,2,2022,tt10415494,Romance
Movie,A Walk in the Park,1,2022,tt10627804,Romance
Movie,Thor: Love and Thunder,7,2022,tt10648342,Romance
Movie,Wicked Game,9,2022,tt10671182,Romance
Movie,Entergalactic,9,2022,tt10687116,Romance
Movie,Gehraiyaan,2,2022,tt10733228,Romance
Movie,Persona,10,2022,tt10749820,Romance
Short,Impossible,,2022,tt10751874,Romance
Movie,Suitable Etc.,1,2022,tt10787610,Romance
Movie,Diary of a Spy,7,2022,tt10789216,Romance
Movie,Leonardo and the Love,,2022,tt10836576,Romance
Movie,Diorama,9,2022,tt10851466,Romance
Movie,Love Feast,8,2022,tt10975464,Romance
Short,None of Your Dayum Business,3,2022,tt11051940,Romance
Movie,Press Play,6,2022,tt11116642,Romance
Movie,An American Masquerade,12,2022,tt11151578,Romance
Movie,Chroma,7,2022,tt11167918,Romance
Movie,Dilly Loves Kitty,1,2022,tt11170782,Romance
Movie,Hawayein,6,2022,tt11177996,Romance
Movie,AI Love You,2,2022,tt11182810,Romance
Movie,Sex Appeal,4,2022,tt11203022,Romance
Movie,Rock Dog 3: Battle the Beat,1,2023,tt11207270,Romance
Movie,Going Down,,,tt11209930,Romance
Movie,Am I OK?,1,2022,tt11225626,Romance
Short,Rat Tail,,2022,tt11266548,Romance
Movie,Nightalk,9,2022,tt11350068,Romance
Movie,Redeeming Love,1,2022,tt11365186,Romance
Movie,Beauty,6,2022,tt11364112,Romance
Movie,Hridayam,1,2022,tt11375428,Romance
Movie,Wedding Season,8,2022,tt11426572,Romance
Movie,Will-o'-the-Wisp,9,2022,tt11460816,Romance
Movie,Meridiane Story,11,2022,tt11497848,Romance
Movie,Son Parti,4,2022,tt11534504,Romance
Movie,Downton Abbey II: Eine neue Ära,4,2022,tt11703710,Romance
Movie,Pocahontas Returns,3,2022,tt11723646,Romance
Short,The Waiting,,2022,tt11749806,Romance
Movie,Merindu Cahaya de Amstel,1,2022,tt11799764,Romance
Movie,Molly Bling Bling,,,tt11834118,Romance
Movie,Lasciarsi un giorno a Roma,1,2022,tt11847972,Romance
Movie,Bambi,,,tt10298848,Romance
Movie,Bad Boy,4,2023,tt10351180,Romance
Movie,Miraculous: Filmen om Ladybug & Cat Noir,7,2023,tt10364034,Romance
Movie,Finding Tess,11,2023,tt10461964,Romance
Short,Amor Y Aceptacion. Volumen I,,2023,tt10686530,Romance
Movie,Divine Flames,,,tt11218958,Romance
Movie,Divine Flames,,,tt11226102,Romance
Movie,The Out-Laws,7,2023,tt11274492,Romance
Movie,Romeo & Juliet.,5,2023,tt12087154,Romance
Movie,Your Place or Mine,2,2023,tt12823454,Romance
Movie,Maura the Vampire Princess,10,2023,tt13064626,Romance
Movie,Tarifte Ask Var,2,2023,tt13683908,Romance
Movie,Shaakuntalam,4,2023,tt13761284,Romance
Movie,The Gravitation of Love,12,2024,tt14278620,Romance
Movie,My Precious,4,2023,tt14326000,Romance
Movie,Little Bastard,7,2023,tt14671498,Romance
Movie,Burning Love,11,2023,tt14709996,Romance
Movie,You People,1,2023,tt14826022,Romance
Movie,Satyaprem Ki Katha,6,2023,tt14914988,Romance
Movie,First Nights,12,2023,tt14979412,Romance
Movie,Rocky Aur Rani Ki Prem Kahani,7,2023,tt14993250,Romance
Movie,Love in Isolation,2,2023,tt15043302,Romance
Movie,Let's Meet Halfway,1,2023,tt15157072,Romance
Movie,Tú y Yo en Queens,,2023,tt15209090,Romance
Movie,Andra akten,2,2023,tt15216170,Romance
Movie,Ehrengard,,2023,tt15334484,Romance
Movie,Nigah Marda Ayi Ve,3,2023,tt15422336,Romance
Movie,Desapega!,2,2023,tt15489762,Romance
Movie,Untouchable,2,2024,tt12794380,Romance
Movie,Broken Glass,2,2024,tt13036100,Romance
Movie,Vo Ladki,11,2024,tt13576680,Romance
Movie,Disconnected,11,2024,tt14866430,Romance
Movie,This Time Next Year I'll Be Famous,9,2024,tt9371598,Romance
Movie,The Truck,,,tt15721572,Romance
Movie,Hasta Que Nos Encontremos De Neuvo,10,2024,tt20237184,Romance
Movie,The Dream Fisher,9,2024,tt20407238,Romance
Movie,Irish Wish,3,2024,tt21957774,Romance
Movie,Onegin,3,2024,tt23747498,Romance
Movie,Vamp Camp: Being a Melodrama in Three Parts,,,tt26238738,Romance
